,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
2002,7.6,0.17,0.35,1.6,0.047,43.0,154.0,0.9934,3.36,0.6329370830255843,9.869379432242681,6
2004,7.4,0.26,0.31,2.4,0.043,58.0,178.0,0.9941,3.42,0.6229370830255844,9.369379432242681,6
2005,7.0,0.28,0.33,14.6,0.043,47.0,168.0,0.9994,3.34,0.6129370830255844,7.569379432242682,6
2006,8.4,0.2,0.38,11.8,0.055,51.0,170.0,1.0004,3.34,0.7629370830255843,7.669379432242682,6
2007,5.6,0.18,0.31,1.5,0.038,16.0,84.0,0.9924,3.34,0.5229370830255843,8.869379432242681,6
2010,7.0,0.25,0.56,2.0,0.035,20.0,95.0,0.9918,3.23,0.47293708302558435,9.769379432242681,6
2032,6.5,0.25,0.2,1.4,0.024,29.0,101.0,0.9916,3.24,0.48293708302558436,9.569379432242682,6
2040,6.7,0.3,0.45,10.6,0.032,56.0,212.0,0.997,3.22,0.5329370830255843,8.269379432242681,6
2049,6.3,0.28,0.24,8.45,0.031,32.0,172.0,0.9958,3.39,0.5129370830255843,8.46937943224268,7
2060,6.8,0.28,0.44,11.5,0.04,58.0,223.0,0.9969,3.22,0.5029370830255844,8.269379432242681,5
2064,6.6,0.22,0.28,4.9,0.042,51.0,180.0,0.9952,3.3,0.6929370830255843,8.269379432242681,6
2071,6.5,0.19,0.26,5.2,0.04,31.0,140.0,0.995,3.26,0.6229370830255844,8.269379432242681,6
2072,6.6,0.23,0.27,5.6,0.043,43.0,164.0,0.9953,3.27,0.7029370830255843,8.269379432242681,5
2073,6.6,0.27,0.29,5.3,0.045,57.0,189.0,0.9953,3.31,0.7329370830255844,8.569379432242682,5
2074,6.6,0.22,0.28,4.9,0.042,51.0,180.0,0.9952,3.3,0.6929370830255843,8.269379432242681,6
2077,7.0,0.22,0.39,2.1,0.055,39.0,198.0,0.9951,3.52,0.48293708302558436,8.96937943224268,6
2078,5.9,0.17,0.3,1.4,0.042,25.0,119.0,0.9931,3.68,0.6629370830255843,9.269379432242681,6
2084,7.9,0.17,0.32,1.6,0.053,47.0,150.0,0.9948,3.29,0.7029370830255843,8.369379432242681,6
2085,7.9,0.17,0.32,1.6,0.053,47.0,150.0,0.9948,3.29,0.7029370830255843,8.369379432242681,6
2089,7.9,0.17,0.32,1.6,0.053,47.0,150.0,0.9948,3.29,0.7029370830255843,8.369379432242681,6
2117,7.7,0.26,0.32,1.2,0.04,26.0,117.0,0.993,3.21,0.5029370830255844,9.569379432242682,5
2129,6.8,0.28,0.39,1.4,0.036000000000000004,15.0,115.0,0.9918,3.27,0.6629370830255843,10.46937943224268,5
2134,6.8,0.26,0.32,7.0,0.040999999999999995,38.0,118.0,0.9939,3.25,0.46293708302558434,9.569379432242682,6
2135,7.2,0.16,0.26,7.1,0.054000000000000006,41.0,224.0,0.9966,3.38,0.49293708302558437,8.869379432242681,5
2136,7.9,0.18,0.36,5.9,0.057999999999999996,31.0,132.0,0.995,3.25,0.46293708302558434,9.669379432242682,6
2137,7.2,0.16,0.26,7.1,0.054000000000000006,41.0,224.0,0.9966,3.38,0.49293708302558437,8.869379432242681,5
2140,7.7,0.28,0.35,15.3,0.055999999999999994,31.0,117.0,0.9998,3.27,0.4429370830255843,8.369379432242681,5
2141,7.7,0.28,0.35,15.3,0.055999999999999994,31.0,117.0,0.9998,3.27,0.4429370830255843,8.369379432242681,5
2143,6.5,0.14,0.32,2.7,0.037000000000000005,18.0,89.0,0.9924,3.4,0.6829370830255843,10.269379432242681,7
