,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
2003,7.4,0.3,0.341019804202983,5.25,0.053,33.0,180.0,0.9926,3.13,0.45,10.369379432242681,6
2008,7.2,0.15,0.511019804202983,1.8,0.043,21.0,159.0,0.9948,3.52,0.47,8.769379432242681,5
2011,7.2,0.15,0.511019804202983,1.8,0.043,21.0,159.0,0.9948,3.52,0.47,8.769379432242681,5
2012,6.8,0.18,0.581019804202983,1.4,0.064,37.0,160.0,0.9924,3.37,0.45,9.869379432242681,5
2018,7.0,0.2,0.46101980420298305,2.1,0.049,12.0,136.0,0.9922,3.25,0.46,10.369379432242681,7
2021,6.3,0.21,0.40101980420298305,1.5,0.051,46.0,142.0,0.9928,3.23,0.42,8.869379432242681,6
2023,6.3,0.21,0.40101980420298305,1.5,0.051,46.0,142.0,0.9928,3.23,0.42,8.869379432242681,6
2025,7.5,0.3,0.8310198042029829,1.3,0.16,44.0,149.0,0.9948,3.08,0.42,7.669379432242682,5
2028,8.9,0.21,0.46101980420298305,7.1,0.037000000000000005,33.0,150.0,0.9962,3.1,0.45,8.46937943224268,6
2031,7.6,0.29,0.38101980420298304,6.5,0.042,32.0,160.0,0.9944,3.14,0.47,9.46937943224268,5
2033,7.2,0.23,0.45101980420298304,12.7,0.049,50.0,183.0,0.9987,3.41,0.4,8.569379432242682,5
2035,8.8,0.2,0.40101980420298305,1.1,0.018000000000000002,18.0,72.0,0.9926,2.97,0.35,9.169379432242682,5
2036,5.7,0.27,0.44101980420298303,1.2,0.046,20.0,155.0,0.9934,3.8,0.41,8.96937943224268,6
2037,7.6,0.29,0.38101980420298304,6.5,0.042,32.0,160.0,0.9944,3.14,0.47,9.46937943224268,5
2038,5.5,0.14,0.39101980420298305,4.6,0.028999999999999998,22.0,104.0,0.9949,3.34,0.44,7.7693794322426815,5
2039,8.7,0.24,0.471019804202983,0.6,0.042,11.0,71.0,0.9926,3.08,0.38,9.369379432242681,5
2041,5.5,0.14,0.39101980420298305,4.6,0.028999999999999998,22.0,104.0,0.9949,3.34,0.44,7.7693794322426815,5
2042,5.6,0.13,0.39101980420298305,4.8,0.027999999999999997,22.0,104.0,0.9948,3.34,0.45,7.969379432242681,6
2045,8.7,0.24,0.471019804202983,0.6,0.042,11.0,71.0,0.9926,3.08,0.38,9.369379432242681,5
2055,7.3,0.29,0.411019804202983,4.6,0.028999999999999998,27.0,155.0,0.9931,3.07,0.26,9.369379432242681,6
2058,7.3,0.29,0.491019804202983,8.3,0.044000000000000004,45.0,227.0,0.9966,3.12,0.47,7.7693794322426815,5
2061,6.7,0.23,0.45101980420298304,1.8,0.036000000000000004,23.0,96.0,0.9925,3.32,0.4,9.569379432242682,6
2062,6.9,0.17,0.37101980420298303,1.6,0.047,34.0,132.0,0.9914,3.16,0.48,10.169379432242682,5
2063,7.6,0.18,0.481019804202983,2.4,0.049,38.0,123.0,0.996,3.6,0.46,9.069379432242682,5
2065,7.8,0.27,0.40101980420298305,1.8,0.05,21.0,127.0,0.9934,3.15,0.44,8.669379432242682,5
