,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
2008,7.2,0.15,0.39,1.8,0.043,21.0,159.0,0.9962954534584685,3.52,0.47,8.769379432242681,5
2011,7.2,0.15,0.39,1.8,0.043,21.0,159.0,0.9962954534584685,3.52,0.47,8.769379432242681,5
2012,6.8,0.18,0.46,1.4,0.064,37.0,160.0,0.9938954534584684,3.37,0.45,9.869379432242681,5
2018,7.0,0.2,0.34,2.1,0.049,12.0,136.0,0.9936954534584684,3.25,0.46,10.369379432242681,7
2021,6.3,0.21,0.28,1.5,0.051,46.0,142.0,0.9942954534584685,3.23,0.42,8.869379432242681,6
2023,6.3,0.21,0.28,1.5,0.051,46.0,142.0,0.9942954534584685,3.23,0.42,8.869379432242681,6
2025,7.5,0.3,0.71,1.3,0.16,44.0,149.0,0.9962954534584685,3.08,0.42,7.669379432242682,5
2028,8.9,0.21,0.34,7.1,0.037000000000000005,33.0,150.0,0.9976954534584684,3.1,0.45,8.46937943224268,6
2031,7.6,0.29,0.26,6.5,0.042,32.0,160.0,0.9958954534584684,3.14,0.47,9.46937943224268,5
2033,7.2,0.23,0.33,12.7,0.049,50.0,183.0,1.0001954534584685,3.41,0.4,8.569379432242682,5
2035,8.8,0.2,0.28,1.1,0.018000000000000002,18.0,72.0,0.9940954534584685,2.97,0.35,9.169379432242682,5
2036,5.7,0.27,0.32,1.2,0.046,20.0,155.0,0.9948954534584684,3.8,0.41,8.96937943224268,6
2037,7.6,0.29,0.26,6.5,0.042,32.0,160.0,0.9958954534584684,3.14,0.47,9.46937943224268,5
2038,5.5,0.14,0.27,4.6,0.028999999999999998,22.0,104.0,0.9963954534584685,3.34,0.44,7.7693794322426815,5
2039,8.7,0.24,0.35,0.6,0.042,11.0,71.0,0.9940954534584685,3.08,0.38,9.369379432242681,5
2041,5.5,0.14,0.27,4.6,0.028999999999999998,22.0,104.0,0.9963954534584685,3.34,0.44,7.7693794322426815,5
2042,5.6,0.13,0.27,4.8,0.027999999999999997,22.0,104.0,0.9962954534584685,3.34,0.45,7.969379432242681,6
2045,8.7,0.24,0.35,0.6,0.042,11.0,71.0,0.9940954534584685,3.08,0.38,9.369379432242681,5
2055,7.3,0.29,0.29,4.6,0.028999999999999998,27.0,155.0,0.9945954534584684,3.07,0.26,9.369379432242681,6
2058,7.3,0.29,0.37,8.3,0.044000000000000004,45.0,227.0,0.9980954534584685,3.12,0.47,7.7693794322426815,5
2061,6.7,0.23,0.33,1.8,0.036000000000000004,23.0,96.0,0.9939954534584685,3.32,0.4,9.569379432242682,6
2062,6.9,0.17,0.25,1.6,0.047,34.0,132.0,0.9928954534584684,3.16,0.48,10.169379432242682,5
2063,7.6,0.18,0.36,2.4,0.049,38.0,123.0,0.9974954534584685,3.6,0.46,9.069379432242682,5
2065,7.8,0.27,0.28,1.8,0.05,21.0,127.0,0.9948954534584684,3.15,0.44,8.669379432242682,5
2066,7.7,0.28,0.29,4.3,0.051,25.0,142.0,0.9953954534584685,3.16,0.39,8.96937943224268,5
2067,7.6,0.29,0.29,4.4,0.051,26.0,146.0,0.9953954534584685,3.16,0.39,8.96937943224268,5
2075,7.6,0.18,0.36,2.4,0.049,38.0,123.0,0.9974954534584685,3.6,0.46,9.069379432242682,5
2083,9.4,0.3,0.32,10.7,0.028999999999999998,14.0,111.0,0.9972954534584685,2.85,0.42,9.369379432242681,5
2088,8.7,0.15,0.3,1.6,0.046,29.0,130.0,0.9956954534584684,3.22,0.38,8.569379432242682,6
2095,8.4,0.28,0.4,8.9,0.048,33.0,146.0,1.0002954534584685,3.4,0.46,8.069379432242682,5
2097,6.7,0.24,0.33,12.3,0.046,31.0,145.0,0.9997954534584684,3.36,0.4,8.269379432242681,5
2098,7.4,0.18,0.36,13.1,0.055999999999999994,72.0,163.0,1.0014954534584686,3.42,0.35,7.869379432242681,6
2099,6.0,0.16,0.3,6.7,0.043,43.0,153.0,0.9965954534584684,3.63,0.46,9.369379432242681,5
2100,6.7,0.24,0.33,12.3,0.046,31.0,145.0,0.9997954534584684,3.36,0.4,8.269379432242681,5
2104,6.0,0.16,0.3,6.7,0.043,43.0,153.0,0.9965954534584684,3.63,0.46,9.369379432242681,5
2107,8.1,0.24,0.33,10.2,0.048,46.0,141.0,0.9986954534584684,3.16,0.48,9.069379432242682,6
2108,7.4,0.18,0.36,13.1,0.055999999999999994,72.0,163.0,1.0014954534584686,3.42,0.35,7.869379432242681,6
2116,6.8,0.2,0.27,1.2,0.034,19.0,68.0,0.9916954534584684,3.14,0.37,10.46937943224268,4
2119,8.0,0.16,0.36,1.5,0.033,14.0,122.0,0.9955954534584684,3.2,0.39,9.069379432242682,4
2120,6.8,0.25,0.27,10.7,0.076,47.0,154.0,0.9981954534584685,3.05,0.38,7.7693794322426815,5
2122,6.9,0.26,0.33,12.6,0.051,59.0,173.0,0.9994954534584685,3.39,0.38,8.669379432242682,5
2123,6.8,0.25,0.27,10.7,0.076,47.0,154.0,0.9981954534584685,3.05,0.38,7.7693794322426815,5
2138,5.5,0.24,0.32,8.7,0.06,19.0,102.0,0.9954954534584686,3.27,0.31,9.169379432242682,5
2142,7.5,0.26,0.52,13.2,0.047,64.0,179.0,0.9996954534584684,3.1,0.46,7.7693794322426815,5
2144,8.2,0.21,0.32,10.65,0.053,53.0,145.0,0.9986954534584684,3.17,0.48,8.96937943224268,6
2145,7.2,0.2,0.31,10.0,0.054000000000000006,49.0,165.0,0.9984954534584685,3.4,0.42,8.669379432242682,6
