,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
2008,7.2,0.15,0.39,1.8,0.043,3.9928626747674336,159.0,0.9948,3.52,0.47,8.769379432242681,5
2011,7.2,0.15,0.39,1.8,0.043,3.9928626747674336,159.0,0.9948,3.52,0.47,8.769379432242681,5
2012,6.8,0.18,0.46,1.4,0.064,19.992862674767434,160.0,0.9924,3.37,0.45,9.869379432242681,5
2018,7.0,0.2,0.34,2.1,0.049,-5.007137325232566,136.0,0.9922,3.25,0.46,10.369379432242681,7
2021,6.3,0.21,0.28,1.5,0.051,28.992862674767434,142.0,0.9928,3.23,0.42,8.869379432242681,6
2023,6.3,0.21,0.28,1.5,0.051,28.992862674767434,142.0,0.9928,3.23,0.42,8.869379432242681,6
2025,7.5,0.3,0.71,1.3,0.16,26.992862674767434,149.0,0.9948,3.08,0.42,7.669379432242682,5
2028,8.9,0.21,0.34,7.1,0.037000000000000005,15.992862674767434,150.0,0.9962,3.1,0.45,8.46937943224268,6
2031,7.6,0.29,0.26,6.5,0.042,14.992862674767434,160.0,0.9944,3.14,0.47,9.46937943224268,5
2035,8.8,0.2,0.28,1.1,0.018000000000000002,0.9928626747674336,72.0,0.9926,2.97,0.35,9.169379432242682,5
2036,5.7,0.27,0.32,1.2,0.046,2.9928626747674336,155.0,0.9934,3.8,0.41,8.96937943224268,6
2037,7.6,0.29,0.26,6.5,0.042,14.992862674767434,160.0,0.9944,3.14,0.47,9.46937943224268,5
2038,5.5,0.14,0.27,4.6,0.028999999999999998,4.992862674767434,104.0,0.9949,3.34,0.44,7.7693794322426815,5
2039,8.7,0.24,0.35,0.6,0.042,-6.007137325232566,71.0,0.9926,3.08,0.38,9.369379432242681,5
2041,5.5,0.14,0.27,4.6,0.028999999999999998,4.992862674767434,104.0,0.9949,3.34,0.44,7.7693794322426815,5
2042,5.6,0.13,0.27,4.8,0.027999999999999997,4.992862674767434,104.0,0.9948,3.34,0.45,7.969379432242681,6
2045,8.7,0.24,0.35,0.6,0.042,-6.007137325232566,71.0,0.9926,3.08,0.38,9.369379432242681,5
2055,7.3,0.29,0.29,4.6,0.028999999999999998,9.992862674767434,155.0,0.9931,3.07,0.26,9.369379432242681,6
2058,7.3,0.29,0.37,8.3,0.044000000000000004,27.992862674767434,227.0,0.9966,3.12,0.47,7.7693794322426815,5
2061,6.7,0.23,0.33,1.8,0.036000000000000004,5.992862674767434,96.0,0.9925,3.32,0.4,9.569379432242682,6
2062,6.9,0.17,0.25,1.6,0.047,16.992862674767434,132.0,0.9914,3.16,0.48,10.169379432242682,5
2063,7.6,0.18,0.36,2.4,0.049,20.992862674767434,123.0,0.996,3.6,0.46,9.069379432242682,5
2065,7.8,0.27,0.28,1.8,0.05,3.9928626747674336,127.0,0.9934,3.15,0.44,8.669379432242682,5
2066,7.7,0.28,0.29,4.3,0.051,7.992862674767434,142.0,0.9939,3.16,0.39,8.96937943224268,5
2067,7.6,0.29,0.29,4.4,0.051,8.992862674767434,146.0,0.9939,3.16,0.39,8.96937943224268,5
2075,7.6,0.18,0.36,2.4,0.049,20.992862674767434,123.0,0.996,3.6,0.46,9.069379432242682,5
2083,9.4,0.3,0.32,10.7,0.028999999999999998,-3.0071373252325664,111.0,0.9958,2.85,0.42,9.369379432242681,5
2088,8.7,0.15,0.3,1.6,0.046,11.992862674767434,130.0,0.9942,3.22,0.38,8.569379432242682,6
2097,6.7,0.24,0.33,12.3,0.046,13.992862674767434,145.0,0.9983,3.36,0.4,8.269379432242681,5
2099,6.0,0.16,0.3,6.7,0.043,25.992862674767434,153.0,0.9951,3.63,0.46,9.369379432242681,5
2100,6.7,0.24,0.33,12.3,0.046,13.992862674767434,145.0,0.9983,3.36,0.4,8.269379432242681,5
2104,6.0,0.16,0.3,6.7,0.043,25.992862674767434,153.0,0.9951,3.63,0.46,9.369379432242681,5
2107,8.1,0.24,0.33,10.2,0.048,28.992862674767434,141.0,0.9972,3.16,0.48,9.069379432242682,6
2116,6.8,0.2,0.27,1.2,0.034,1.9928626747674336,68.0,0.9902,3.14,0.37,10.46937943224268,4
2119,8.0,0.16,0.36,1.5,0.033,-3.0071373252325664,122.0,0.9941,3.2,0.39,9.069379432242682,4
2120,6.8,0.25,0.27,10.7,0.076,29.992862674767434,154.0,0.9967,3.05,0.38,7.7693794322426815,5
2122,6.9,0.26,0.33,12.6,0.051,41.99286267476744,173.0,0.998,3.39,0.38,8.669379432242682,5
2123,6.8,0.25,0.27,10.7,0.076,29.992862674767434,154.0,0.9967,3.05,0.38,7.7693794322426815,5
2138,5.5,0.24,0.32,8.7,0.06,1.9928626747674336,102.0,0.9940000000000001,3.27,0.31,9.169379432242682,5
2142,7.5,0.26,0.52,13.2,0.047,46.99286267476744,179.0,0.9982,3.1,0.46,7.7693794322426815,5
2144,8.2,0.21,0.32,10.65,0.053,35.99286267476744,145.0,0.9972,3.17,0.48,8.96937943224268,6
2145,7.2,0.2,0.31,10.0,0.054000000000000006,31.992862674767434,165.0,0.997,3.4,0.42,8.669379432242682,6
