,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
2002,7.6,0.17,0.35,-3.4720577840148636,0.047,43.0,154.0,0.9934,3.36,0.69,9.869379432242681,6
2003,7.4,0.3,0.22,0.17794221598513627,0.053,33.0,180.0,0.9926,3.13,0.45,10.369379432242681,6
2004,7.4,0.26,0.31,-2.672057784014864,0.043,58.0,178.0,0.9941,3.42,0.68,9.369379432242681,6
2005,7.0,0.28,0.33,9.527942215985135,0.043,47.0,168.0,0.9994,3.34,0.67,7.569379432242682,6
2006,8.4,0.2,0.38,6.727942215985137,0.055,51.0,170.0,1.0004,3.34,0.82,7.669379432242682,6
2007,5.6,0.18,0.31,-3.5720577840148637,0.038,16.0,84.0,0.9924,3.34,0.58,8.869379432242681,6
2008,7.2,0.15,0.39,-3.272057784014864,0.043,21.0,159.0,0.9948,3.52,0.47,8.769379432242681,5
2010,7.0,0.25,0.56,-3.0720577840148637,0.035,20.0,95.0,0.9918,3.23,0.53,9.769379432242681,6
2011,7.2,0.15,0.39,-3.272057784014864,0.043,21.0,159.0,0.9948,3.52,0.47,8.769379432242681,5
2012,6.8,0.18,0.46,-3.672057784014864,0.064,37.0,160.0,0.9924,3.37,0.45,9.869379432242681,5
2015,6.9,0.19,0.39,2.9279422159851363,0.027999999999999997,22.0,84.0,0.9940000000000001,3.11,0.66,9.569379432242682,6
2018,7.0,0.2,0.34,-2.9720577840148636,0.049,12.0,136.0,0.9922,3.25,0.46,10.369379432242681,7
2020,7.7,0.26,0.34,1.3279422159851366,0.05,36.0,163.0,0.9937,3.19,0.7,10.269379432242681,6
2021,6.3,0.21,0.28,-3.5720577840148637,0.051,46.0,142.0,0.9928,3.23,0.42,8.869379432242681,6
2023,6.3,0.21,0.28,-3.5720577840148637,0.051,46.0,142.0,0.9928,3.23,0.42,8.869379432242681,6
2025,7.5,0.3,0.71,-3.772057784014864,0.16,44.0,149.0,0.9948,3.08,0.42,7.669379432242682,5
2026,6.4,0.26,0.4,-3.3720577840148636,0.179,5.0,60.0,0.9925,3.09,0.54,8.869379432242681,5
2028,8.9,0.21,0.34,2.027942215985136,0.037000000000000005,33.0,150.0,0.9962,3.1,0.45,8.46937943224268,6
2031,7.6,0.29,0.26,1.4279422159851363,0.042,32.0,160.0,0.9944,3.14,0.47,9.46937943224268,5
2032,6.5,0.25,0.2,-3.672057784014864,0.024,29.0,101.0,0.9916,3.24,0.54,9.569379432242682,6
2033,7.2,0.23,0.33,7.6279422159851356,0.049,50.0,183.0,0.9987,3.41,0.4,8.569379432242682,5
2035,8.8,0.2,0.28,-3.9720577840148636,0.018000000000000002,18.0,72.0,0.9926,2.97,0.35,9.169379432242682,5
2036,5.7,0.27,0.32,-3.8720577840148636,0.046,20.0,155.0,0.9934,3.8,0.41,8.96937943224268,6
2037,7.6,0.29,0.26,1.4279422159851363,0.042,32.0,160.0,0.9944,3.14,0.47,9.46937943224268,5
