,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
2000,6.8,0.31,0.09,1.4,0.04,56.0,145.0,0.9907045465415315,3.19,0.46,8.769379432242681,5
2001,6.7,0.31,0.08,1.3,0.038,58.0,147.0,0.9907045465415315,3.18,0.46,8.769379432242681,5
2013,6.6,0.32,0.22,16.7,0.046,38.0,133.0,0.9964045465415315,3.22,0.67,9.169379432242682,6
2019,6.6,0.32,0.22,16.7,0.046,38.0,133.0,0.9964045465415315,3.22,0.67,9.169379432242682,6
2022,7.6,0.34,0.39,7.6,0.04,45.0,215.0,0.9950045465415316,3.11,0.53,7.969379432242681,6
2027,6.9,0.32,0.15,8.1,0.046,51.0,180.0,0.9943045465415316,3.13,0.45,7.669379432242682,5
2029,7.6,0.34,0.39,7.6,0.04,45.0,215.0,0.9950045465415316,3.11,0.53,7.969379432242681,6
2034,7.9,0.35,0.36,1.6,0.038,11.0,124.0,0.9913045465415316,3.25,0.48,9.769379432242681,5
2044,5.7,0.385,0.04,12.6,0.034,22.0,115.0,0.9949045465415315,3.28,0.63,8.669379432242682,6
2047,6.8,0.34,0.44,6.6,0.052000000000000005,28.0,156.0,0.9940045465415316,3.14,0.41,8.369379432242681,5
2048,6.8,0.33,0.44,7.0,0.05,29.0,155.0,0.9940045465415316,3.14,0.42,8.269379432242681,5
2059,5.7,0.46,0.46,1.4,0.04,31.0,169.0,0.9917045465415315,3.13,0.47,7.569379432242682,5
2070,7.3,0.34,0.3,1.3,0.057,25.0,173.0,0.9933045465415316,3.26,0.51,7.869379432242681,6
2076,6.8,0.36,0.32,1.6,0.039,10.0,124.0,0.9933045465415316,3.3,0.67,8.369379432242681,5
2079,7.4,0.45,0.32,7.1,0.044000000000000004,17.0,117.0,0.9947045465415315,3.32,0.41,9.169379432242682,4
2080,6.8,0.36,0.32,1.6,0.039,10.0,124.0,0.9933045465415316,3.3,0.67,8.369379432242681,5
2081,7.5,0.42,0.14,10.7,0.046,18.0,95.0,0.9944045465415315,3.22,0.33,9.46937943224268,5
2082,7.5,0.33,0.32,11.1,0.036000000000000004,25.0,119.0,0.9947045465415315,3.15,0.34,9.269379432242681,6
2096,6.8,0.32,0.34,6.0,0.05,5.0,129.0,0.9938045465415315,3.19,0.4,7.869379432242681,5
2102,6.2,0.34,0.3,11.1,0.047,28.0,237.0,0.9966045465415315,3.18,0.49,7.469379432242681,5
2105,6.8,0.32,0.34,6.0,0.05,5.0,129.0,0.9938045465415315,3.19,0.4,7.869379432242681,5
2126,6.5,0.43,0.28,12.0,0.055999999999999994,23.0,174.0,0.9971045465415316,3.31,0.55,8.069379432242682,5
2127,9.1,0.33,0.38,1.7,0.062,50.5,344.0,0.9943045465415316,3.1,0.7,8.269379432242681,5
2165,7.0,0.35,0.31,1.8,0.069,15.0,162.0,0.9929045465415315,3.18,0.47,8.169379432242682,5
2166,7.0,0.35,0.31,1.8,0.069,15.0,162.0,0.9929045465415315,3.18,0.47,8.169379432242682,5
2172,6.9,0.32,0.13,7.8,0.042,11.0,117.0,0.9945045465415315,3.23,0.37,7.969379432242681,5
2173,7.6,0.32,0.58,16.75,0.05,43.0,163.0,0.9984045465415315,3.15,0.54,7.969379432242681,5
2176,6.9,0.32,0.13,7.8,0.042,11.0,117.0,0.9945045465415315,3.23,0.37,7.969379432242681,5
2177,6.0,0.34,0.24,5.4,0.06,23.0,126.0,0.9936045465415315,3.25,0.44,7.7693794322426815,7
2178,7.6,0.32,0.58,16.75,0.05,43.0,163.0,0.9984045465415315,3.15,0.54,7.969379432242681,5
2182,6.6,0.32,0.27,10.9,0.040999999999999995,37.0,146.0,0.9948045465415315,3.24,0.47,8.769379432242681,5
2184,6.4,0.33,0.24,9.8,0.040999999999999995,29.0,109.0,0.9941045465415316,3.29,0.47,8.869379432242681,6
